id	parentId	name	abstract	createdDate	updatedDate
0072881f-9aac-4707-bb3f-7488a4817b46	c9c2c18c-2d5a-4203-a9d9-1b320eca3299	Yakima salt solution (has recipe)	0	2022-01-10 05:07:15.895972	2022-01-10 05:26:20.000000
00a9afc9-6ffc-4c69-b703-a8f0d1522b7c	3db25894-0a9a-4133-bded-f42285e4de11	strawberry	0	2022-01-09 19:56:47.998697	2023-07-04 23:20:14.000000
00b9dfb1-2496-443a-a65b-4a6ca5af7789	efc98a40-c0af-4457-b4c0-8368614e63c4	Stone Fruit	1	2023-07-04 19:46:26.007424	2023-07-04 19:46:26.007424
013ab9c5-497b-45b4-a997-b35da9a30827	455c0a48-478a-43ea-8d51-0d934b4db737	crème de violette	0	2022-01-06 21:22:47.098515	2023-07-04 23:13:06.000000
015dda87-2af4-4fef-b4f0-ffccb3b72900	8adea4e2-ccb0-4080-8e01-0edeb7731e3c	cloves	0	2021-03-02 06:23:24.073765	2021-03-02 06:23:24.073765
017212d7-29cc-4a60-ac6c-bb4e99a6088c	6fa0d3a9-c4e0-4434-92c0-176434a12d70	akvavit	0	2022-01-10 05:07:15.499274	2023-07-04 23:22:35.000000
01d69ac2-3dd6-4c40-983b-e994462c98a9	efc98a40-c0af-4457-b4c0-8368614e63c4	pineapple	0	2022-01-08 20:37:17.543779	2023-07-04 23:20:23.000000
022ec667-b0fb-451b-921b-fa48a1cfd097	c27656c3-5d21-487d-b797-6a44e975cdaa	carbonated chai tea	0	2022-11-11 22:48:18.243934	2022-11-11 22:55:05.000000
026e1abe-b8c8-4e56-bc84-58c4238f62ac	43e6debb-587d-4178-8930-05ecf4d867de	blood orange soda	0	2022-01-10 05:07:16.842995	2022-01-10 05:27:14.000000
02a04625-67aa-4e56-873f-2d510eb94bae	b63a6d9c-b629-4701-a189-ffe111291fa3	cocktail skewer	0	2022-11-11 22:48:17.864256	2022-11-11 22:54:33.000000
0352d0bf-59ca-465e-8960-b24163428226	587e2d1c-e033-46e8-ba82-e1494e0671af	fruit-infused gin	1	2022-01-16 22:39:05.530648	2022-01-16 22:39:05.530648
04172f8a-6b70-4ec3-8dbb-90fe842833ad	3466a32f-5eba-4664-b2ff-b27279931d1c	light rum	0	2022-01-10 05:07:22.898768	2022-01-10 05:27:24.000000
044d5d83-698f-4aa0-8711-4d10b7cc932a	8adea4e2-ccb0-4080-8e01-0edeb7731e3c	cayenne	0	2021-03-02 06:23:11.767073	2021-03-02 06:23:11.767073
045a0b0d-de41-486c-8ef1-1206707c4bbc	d9b9df18-11b6-4390-8b1b-4aaaf14a4dca	pomegranate juice	0	2022-01-10 05:07:26.296297	2022-01-10 05:26:52.000000
04da749f-1f00-4dd8-8774-f752e769f061	14628b22-0785-4099-9760-0c34a2adaff9	peppermint	0	2022-01-10 05:07:25.545623	2022-01-10 05:27:56.000000
060383a4-c25d-45c1-894d-4ebdf9d6f010	bc25750f-c111-4694-801e-ca659c8f42b4	amaretto	0	2020-11-22 20:03:58.760512	2023-07-04 23:18:01.000000
0636760b-0cc3-438c-842a-583236938768	d9b9df18-11b6-4390-8b1b-4aaaf14a4dca	tomato juice	0	2020-11-22 20:03:58.760512	2022-01-06 22:35:35.000000
